Geographic Unit,Student Category 1,Student Category 2,Overall Attendance Rate,Remote Students Online Attendance Rate,Blended Students Overall Attendance Rate,Blended Students In-Person Attendance Rate,Blended Students Online Attendance Rate
Citywide,All Students,All Students,90.2,89.4,92.4,93.1,91.8
District 01,All Students,All Students,90.6,90.0,92.4,92.3,92.5
District 02,All Students,All Students,89.4,87.4,94.5,96.1,93.6
District 03,All Students,All Students,89.7,87.6,93.5,94.5,93.0
District 04,All Students,All Students,90.3,90.4,90.6,91.4,89.8
District 05,All Students,All Students,85.1,84.6,87.6,88.5,86.8
District 06,All Students,All Students,89.6,88.9,91.9,92.9,91.0
District 07,All Students,All Students,85.1,83.9,88.4,91.0,86.4
District 08,All Students,All Students,90.7,89.9,93.3,94.7,91.9
District 09,All Students,All Students,90.2,89.5,92.6,93.2,92.3
District 10,All Students,All Students,90.5,90.0,92.2,93.2,91.5
District 11,All Students,All Students,91.4,90.7,93.5,94.4,92.7
District 12,All Students,All Students,89.4,88.7,91.5,93.7,89.8
District 13,All Students,All Students,89.1,88.6,91.6,92.7,91.0
District 14,All Students,All Students,89.6,88.5,92.4,92.4,92.4
District 15,All Students,All Students,90.8,88.9,93.5,94.7,92.5
District 16,All Students,All Students,86.2,84.7,90.5,91.2,89.8
District 17,All Students,All Students,87.4,86.1,91.7,92.6,90.8
District 18,All Students,All Students,86.6,85.6,89.7,92.2,87.7
District 19,All Students,All Students,89.4,89.1,91.1,92.5,89.8
District 20,All Students,All Students,92.6,92.5,93.6,93.8,93.4
District 21,All Students,All Students,89.1,88.3,91.8,92.1,91.5
District 22,All Students,All Students,92,91.7,92.8,92.7,92.9
District 23,All Students,All Students,87.9,87.0,90.7,91.8,89.9
District 24,All Students,All Students,93.2,92.7,94.3,94.5,94.2
District 25,All Students,All Students,93.4,93.2,94.5,95.0,93.6
District 26,All Students,All Students,94.6,94.3,95.9,96.6,94.5
District 27,All Students,All Students,90.8,90.6,91.7,91.8,91.7
District 28,All Students,All Students,92.2,92.0,93.0,94.2,92.0
District 29,All Students,All Students,90.6,90.7,90.7,92.9,87.5
District 30,All Students,All Students,93.3,92.7,94.7,94.5,94.9
District 31,All Students,All Students,89.1,87.8,91.6,92.6,90.9
District 32,All Students,All Students,89.5,88.5,91.2,92.4,90.1
District 75,All Students,All Students,81.7,81.5,82.9,84.8,79.1
District 79,All Students,All Students,38.8,36.5,75.9,79.9,74.2
Citywide,All Students,Asian,95.2,95.3,95.4,95.7,95.1
District 01,All Students,Asian,95.7,95.3,97.6,98.1,97.3
District 02,All Students,Asian,96.6,96.4,97.4,97.7,97.2
District 03,All Students,Asian,93.8,92.5,96.7,97.4,96.3
District 04,All Students,Asian,97.1,97.2,96.5,96.3,96.6
District 05,All Students,Asian,92.7,92.5,94.0,92.4,95.4
District 06,All Students,Asian,93.7,93.7,93.8,94.0,93.7
District 07,All Students,Asian,88.1,87.6,91.3,94.2,89.2
District 08,All Students,Asian,95,94.9,95.2,95.9,94.6
District 09,All Students,Asian,92.6,92.2,94.3,94.6,94.2
District 10,All Students,Asian,96.8,96.9,95.9,95.4,96.3
District 11,All Students,Asian,95.6,95.9,95.3,95.5,95.1
District 12,All Students,Asian,95,94.7,96.1,96.1,96.2
District 13,All Students,Asian,91.5,91.5,92.8,96.3,91.4
District 14,All Students,Asian,95.7,95.6,96.0,95.4,96.4
District 15,All Students,Asian,95.5,95.5,95.8,96.2,95.5
District 16,All Students,Asian,89.3,89.5,89.5,84.9,95.1
District 17,All Students,Asian,90.2,89.4,92.5,92.4,92.5
District 18,All Students,Asian,87.5,87.3,88.1,88.2,88.0
District 19,All Students,Asian,93.7,94.1,91.6,93.6,88.8
District 20,All Students,Asian,96.2,96.3,95.2,95.2,95.2
District 21,All Students,Asian,92.9,93.0,92.4,93.1,91.9
District 22,All Students,Asian,94.4,94.7,92.9,93.1,92.7
District 23,All Students,Asian,92.9,92.2,95.7,94.0,96.8
District 24,All Students,Asian,96.7,96.8,96.6,96.3,96.8
District 25,All Students,Asian,97.2,97.3,97.2,97.4,96.9
District 26,All Students,Asian,97,96.8,97.7,98.0,96.7
District 27,All Students,Asian,93.6,93.8,93.1,92.7,93.5
District 28,All Students,Asian,94.7,94.7,95.2,96.0,94.5
District 29,All Students,Asian,93.6,94.1,91.7,93.9,89.0
District 30,All Students,Asian,95.9,95.7,96.6,96.1,97.0
District 31,All Students,Asian,95.4,95.5,95.0,94.9,95.0
District 32,All Students,Asian,93,92.8,94.1,97.9,91.0
District 75,All Students,Asian,86.4,87.2,85.2,87.2,80.3
District 79,All Students,Asian,36.2,34.7,77.0,90.2,73.5
Citywide,All Students,Black,86.4,85.6,89.3,91.0,87.7
District 01,All Students,Black,86,85.1,88.9,88.7,89.3
District 02,All Students,Black,80.7,79.4,87.0,90.7,85.5
District 03,All Students,Black,84.7,83.7,88.3,89.7,87.2
District 04,All Students,Black,87.7,87.6,88.4,89.1,87.7
District 05,All Students,Black,82.6,81.9,85.8,88.2,83.6
District 06,All Students,Black,84.1,83.3,88.0,92.0,85.6
District 07,All Students,Black,84.4,83.5,87.3,90.1,85.0
District 08,All Students,Black,88.6,87.5,92.7,94.6,90.8
District 09,All Students,Black,90.2,89.1,93.2,94.0,92.8
District 10,All Students,Black,88.8,87.9,91.8,93.3,90.8
District 11,All Students,Black,91.2,90.3,93.6,94.6,92.4
District 12,All Students,Black,87.8,86.9,90.4,93.1,87.9
District 13,All Students,Black,86.7,86.5,88.6,90.0,87.8
District 14,All Students,Black,85.2,84.8,87.1,87.2,87.0
District 15,All Students,Black,84.6,83.5,87.9,91.2,86.1
District 16,All Students,Black,86.2,85.0,89.9,91.1,88.8
District 17,All Students,Black,87.5,86.4,91.6,92.5,90.6
District 18,All Students,Black,87.2,86.2,90.3,92.8,88.4
District 19,All Students,Black,88.2,87.8,90.3,91.8,88.9
District 20,All Students,Black,85.4,84.1,91.2,92.3,90.5
District 21,All Students,Black,81.4,81.0,84.2,86.8,82.7
