Year,District,Feeder School DBN,Feeder School Name,Count of Students in HS Admissions,Count of Testers,Attempt Rate,Count of Offers,Offer Rate
2016,01,01M034,P.S. 034 FRANKLIN D. ROOSEVELT,8,8,100%,3,38%
2016,01,01M140,P.S. 140 NATHAN STRAUS,14,14,100%,3,21%
2016,01,01M184,P.S. 184M SHUANG WEN,39,39,100%,19,49%
2016,01,01M188,P.S. 188 THE ISLAND SCHOOL,3,3,100%,3,100%
2016,01,01M301,"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",6,6,100%,3,50%
2016,01,01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,3,3,100%,3,100%
2016,01,01M378,SCHOOL FOR GLOBAL LEADERS,14,14,100%,3,21%
2016,01,01M450,EAST SIDE COMMUNITY SCHOOL,16,16,100%,3,19%
2016,01,01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH SCHOOL",114,114,100%,81,71%
2016,01,01M839,TOMPKINS SQUARE MIDDLE SCHOOL,39,39,100%,6,15%
2017,01,01M034,P.S. 034 FRANKLIN D. ROOSEVELT,61,10,16%,3,30%
2017,01,01M140,P.S. 140 NATHAN STRAUS,59,10,17%,3,30%
2017,01,01M184,P.S. 184M SHUANG WEN,80,64,80%,28,44%
2017,01,01M188,P.S. 188 THE ISLAND SCHOOL,60,11,18%,3,27%
2017,01,01M301,"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",58,10,17%,3,30%
2017,01,01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,88,13,15%,3,23%
2017,01,01M378,SCHOOL FOR GLOBAL LEADERS,88,10,11%,3,30%
2017,01,01M450,EAST SIDE COMMUNITY SCHOOL,106,11,10%,3,27%
2017,01,01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH SCHOOL",121,109,90%,77,71%
2017,01,01M839,TOMPKINS SQUARE MIDDLE SCHOOL,122,63,52%,8,13%
2018,01,01M034,P.S. 034 FRANKLIN D. ROOSEVELT,58,6,10%,3,5%
2018,01,01M140,P.S. 140 NATHAN STRAUS,67,6,9%,3,4%
2018,01,01M184,P.S. 184M SHUANG WEN,88,67,76%,23,26%
2018,01,01M188,P.S. 188 THE ISLAND SCHOOL,59,3,5%,3,5%
2018,01,01M301,"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",51,11,22%,3,6%
2018,01,01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,68,13,19%,3,4%
2018,01,01M378,SCHOOL FOR GLOBAL LEADERS,96,19,20%,3,3%
2018,01,01M450,EAST SIDE COMMUNITY SCHOOL,94,16,17%,3,3%
2018,01,01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH SCHOOL",136,126,93%,91,67%
2018,01,01M839,TOMPKINS SQUARE MIDDLE SCHOOL,126,66,52%,14,11%
2019,01,01M034,P.S. 034 FRANKLIN D. ROOSEVELT,40,6,15%,3,50%
2019,01,01M140,P.S. 140 NATHAN STRAUS,68,10,15%,3,30%
2019,01,01M184,P.S. 184M SHUANG WEN,88,67,76%,27,40%
2019,01,01M188,P.S. 188 THE ISLAND SCHOOL,56,9,16%,3,33%
2019,01,01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,65,11,17%,3,27%
2019,01,01M378,SCHOOL FOR GLOBAL LEADERS,102,21,21%,3,14%
2019,01,01M450,EAST SIDE COMMUNITY SCHOOL,108,18,17%,3,17%
2019,01,01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",145,128,88%,78,61%
2019,01,01M839,TOMPKINS SQUARE MIDDLE SCHOOL,120,70,58%,7,10%
2020,01,01M034,P.S. 034 FRANKLIN D. ROOSEVELT (01M034),47,3,6%,3,100%
2020,01,01M140,P.S. 140 NATHAN STRAUS (01M140),68,7,10%,3,43%
2020,01,01M184,P.S. 184M SHUANG WEN (01M184),94,74,79%,24,32%
2020,01,01M188,P.S. 188 THE ISLAND SCHOOL (01M188),60,9,15%,3,33%
2020,01,01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL (01M332),78,12,15%,3,25%
2020,01,01M378,SCHOOL FOR GLOBAL LEADERS (01M378),92,18,20%,3,17%
2020,01,01M450,EAST SIDE COMMUNITY SCHOOL (01M450),106,25,24%,3,12%
2020,01,01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL (01M539)",140,121,86%,82,68%
2020,01,01M839,TOMPKINS SQUARE MIDDLE SCHOOL (01M839),123,58,47%,7,12%
2016,02,02M104,J.H.S. 104 SIMON BARUCH,195,195,100%,50,26%
2016,02,02M114,EAST SIDE MIDDLE SCHOOL,97,97,100%,63,65%
2016,02,02M126,P.S. 126 JACOB AUGUST RIIS,76,76,100%,29,38%
2016,02,02M131,M.S. 131,57,57,100%,12,21%
2016,02,02M167,J.H.S. 167 ROBERT F. WAGNER,283,283,100%,78,28%
2016,02,02M177,YORKVILLE EAST MIDDLE SCHOOL,3,3,100%,3,100%
2016,02,02M217,P.S./I.S. 217 ROOSEVELT ISLAND,3,3,100%,3,100%
2016,02,02M225,ELLA BAKER SCHOOL,9,9,100%,3,33%
2016,02,02M255,M.S. 255 SALK SCHOOL OF SCIENCE,105,105,100%,62,59%
2016,02,02M260,M.S. 260 CLINTON SCHOOL WRITERS & ARTISTS,21,21,100%,3,14%
2016,02,02M276,BATTERY PARK CITY SCHOOL,40,40,100%,13,33%
2016,02,02M289,I.S. 289,53,53,100%,11,21%
2016,02,02M312,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES,162,162,100%,108,67%
2016,02,02M347,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHOOL,3,3,100%,3,100%
2016,02,02M397,SPRUCE STREET SCHOOL,3,3,100%,3,100%
2016,02,02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,22,22,100%,3,14%
2016,02,02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,3,3,100%,3,100%
2016,02,02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,49,49,100%,14,29%
2016,02,02M422,QUEST TO LEARN,51,51,100%,17,33%
2016,02,02M442,"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",13,13,100%,3,23%
2016,02,02M655,LIFE SCIENCES SECONDARY SCHOOL,3,3,100%,3,100%
2016,02,02M896,LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,66,66,100%,13,20%
2016,02,02M933,CITY KNOLL MIDDLE SCHOOL,3,3,100%,3,100%
2017,02,02M104,J.H.S. 104 SIMON BARUCH,408,251,62%,83,33%
2017,02,02M114,EAST SIDE MIDDLE SCHOOL,146,102,70%,59,58%
2017,02,02M126,P.S. 126 JACOB AUGUST RIIS,110,66,60%,16,24%
2017,02,02M131,M.S. 131,169,61,36%,17,28%
2017,02,02M167,J.H.S. 167 ROBERT F. WAGNER,437,228,52%,68,30%
2017,02,02M177,YORKVILLE EAST MIDDLE SCHOOL,49,29,59%,7,24%
2017,02,02M217,P.S./I.S. 217 ROOSEVELT ISLAND,18,3,17%,3,100%
2017,02,02M225,ELLA BAKER SCHOOL,22,3,14%,3,100%
2017,02,02M255,M.S. 255 SALK SCHOOL OF SCIENCE,126,110,87%,65,59%
2017,02,02M260,M.S. 260 CLINTON SCHOOL WRITERS & ARTISTS,93,21,23%,11,52%
2017,02,02M276,BATTERY PARK CITY SCHOOL,94,54,57%,20,37%
2017,02,02M289,I.S. 289,94,50,53%,3,6%
2017,02,02M312,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES,174,150,86%,112,75%
2017,02,02M347,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHOOL,7,3,43%,3,100%
2017,02,02M397,SPRUCE STREET SCHOOL,,3,#DIV/0!,3,100%
2017,02,02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,70,11,16%,3,27%
2017,02,02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,30,10,33%,3,30%
2017,02,02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,89,30,34%,6,20%
2017,02,02M422,QUEST TO LEARN,89,35,39%,7,20%
2017,02,02M442,"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",19,10,53%,3,30%
2017,02,02M655,LIFE SCIENCES SECONDARY SCHOOL,20,3,15%,3,100%
2017,02,02M896,LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,126,73,58%,13,18%
2017,02,02M933,CITY KNOLL MIDDLE SCHOOL,91,23,25%,3,13%
2018,02,02M104,J.H.S. 104 SIMON BARUCH,386,260,67%,53,14%
2018,02,02M114,EAST SIDE MIDDLE SCHOOL,152,124,82%,75,49%
2018,02,02M126,P.S. 126 JACOB AUGUST RIIS,112,66,59%,18,16%
2018,02,02M131,M.S. 131,138,54,39%,7,5%
2018,02,02M167,J.H.S. 167 ROBERT F. WAGNER,430,258,60%,77,18%
2018,02,02M177,YORKVILLE EAST MIDDLE SCHOOL,82,42,51%,3,4%
2018,02,02M217,P.S./I.S. 217 ROOSEVELT ISLAND,21,6,29%,3,14%
2018,02,02M225,ELLA BAKER SCHOOL,21,3,14%,3,14%
2018,02,02M255,M.S. 255 SALK SCHOOL OF SCIENCE,131,108,82%,70,53%
2018,02,02M260,M.S. 260 CLINTON SCHOOL WRITERS & ARTISTS,96,36,38%,17,18%
2018,02,02M276,BATTERY PARK CITY SCHOOL,84,56,67%,22,26%
2018,02,02M289,I.S. 289,91,47,52%,3,3%
2018,02,02M312,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES,181,163,90%,113,62%
2018,02,02M347,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHOOL,9,3,33%,3,33%
