District,DBN,school_name,School_Year,Start_Date,Indicator_1.1,Indicator_1.2,Indicator_1.3,Indicator_1.4,Indicator_4.1,Indicator_4.2
2,02M104,J.H.S. 104 Simon Baruch ,2015,12/15/2015,WD,P,No Data,No Data,No Data,WD
2,02M104,J.H.S. 104 Simon Baruch ,2018,11/15/2018,WD,P,P,P,P,WD
2,02M126,Manhattan Academy of Technology/Jacob Riis ,2019,11/6/2019,P,P,P,P,P,P
2,02M131,Sun Yat Sen Middle School ,2015,1/8/2016,WD,P,No Data,No Data,No Data,WD
2,02M131,Sun Yat Sen Middle School ,2019,3/4/2020,WD,P,WD,WD,WD,WD
2,02M167,J.H.S. 167 Robert F. Wagner ,2015,1/21/2016,WD,P,No Data,No Data,No Data,WD
2,02M177,Yorkville East Middle School ,2018,3/1/2019,P,P,P,WD,WD,WD
2,02M217,P.S./I.S. 217 Roosevelt Island ,2017,2/28/2018,P,WD,WD,WD,WD,WD
2,02M225,Ella Baker School ,2017,1/31/2018,P,P,P,WD,P,P
2,02M255,M.S. 255 Salk School of Science ,2019,12/18/2019,WD,WD,WD,WD,WD,WD
2,02M260,The Clinton School ,2018,12/7/2018,WD,WD,WD,WD,P,P
2,02M276,Battery Park City School ,2018,1/31/2019,WD,P,P,WD,P,WD
2,02M289,Hudson River Middle School ,2019,12/17/2019,WD,P,WD,WD,P,WD
2,02M297,M.S. 297 ,2018,11/15/2018,P,P,WD,WD,P,P
2,02M312,New York City Lab Middle School for Collaborative Studies ,2019,12/11/2019,WD,P,WD,WD,P,WD
2,02M347,The 47 American Sign Language & English Lower School ,2016,1/5/2017,P,P,P,P,P,D
2,02M397,Spruce Street School ,2015,12/8/2015,WD,P,No Data,No Data,No Data,WD
2,02M397,Spruce Street School ,2018,2/7/2019,WD,P,WD,WD,WD,WD
2,02M407,Institute for Collaborative Education ,2015,5/26/2016,WD,WD,No Data,No Data,No Data,WD
2,02M407,Institute for Collaborative Education ,2019,1/28/2020,WD,P,WD,WD,WD,WD
2,02M408,Professional Performing Arts School ,2015,4/20/2016,P,P,No Data,No Data,No Data,P
2,02M408,Professional Performing Arts School ,2017,3/13/2018,P,P,WD,WD,WD,P
2,02M413,School of the Future Middle and High School ,2018,2/8/2019,WD,P,P,WD,P,P
2,02M422,Quest to Learn ,2016,3/1/2017,P,P,P,P,P,P
2,02M442,"Ballet Tech, NYC Public School for Dance ",2015,4/20/2016,P,WD,No Data,No Data,No Data,P
2,02M933,City Knoll Middle School ,2019,11/13/2019,P,D,P,D,P,P
10,10X003,P.S. 3 Raul Julia Micro Society ,2015,2/5/2016,P,P,No Data,No Data,No Data,WD
10,10X003,P.S. 3 Raul Julia Micro Society ,2018,10/19/2018,P,P,WD,P,P,WD
10,10X015,P.S. X015 Institute for Environmental Learning ,2015,3/29/2016,P,D,No Data,No Data,No Data,P
10,10X015,P.S. X015 Institute for Environmental Learning ,2017,1/3/2018,P,P,P,WD,P,P
10,10X020,"PS/MS 20 P.O.George J. Werdann, III ",2016,3/23/2017,WD,P,P,P,P,P
10,10X037,P.S. X037 - Multiple Intelligence School ,2017,11/8/2017,WD,P,WD,P,WD,WD
10,10X045,Thomas C. Giordano Middle School 45 ,2016,1/10/2017,P,D,P,P,P,P
10,10X080,J.H.S. 080 The Mosholu Parkway ,2015,5/6/2016,P,D,No Data,No Data,No Data,D
10,10X080,J.H.S. 080 The Mosholu Parkway ,2016,3/7/2017,P,P,WD,P,P,P
10,10X095,P.S. 095 Sheila Mencher ,2017,3/1/2018,WD,P,P,P,WD,WD
10,10X118,J.H.S. 118 William W. Niles ,2016,3/2/2017,P,P,P,WD,P,D
10,10X141,Riverdale / Kingsbridge Academy ,2017,3/27/2018,P,P,P,WD,P,P
10,10X206,I.S. 206 Ann Mersereau ,2016,1/5/2017,P,P,P,P,D,P
10,10X225,Theatre Arts Production Company School ,2017,3/13/2018,P,P,WD,WD,WD,P
10,10X228,Jonas Bronck Academy ,2018,4/12/2019,WD,WD,WD,WD,WD,P
10,10X243,West Bronx Academy for the Future ,2016,2/16/2017,P,D,P,WD,P,P
