,District,School_DBN,School_Name,Year,% Female,% Male,% Asian,% Black,% Hispanic,% White,% Poverty
50,2,02M104,J.H.S. 104 Simon Baruch,2013-14,47.1,52.9,50.3,9.9,19.1,19.4,66.6
51,2,02M104,J.H.S. 104 Simon Baruch,2014-15,48.2,51.8,44.6,8.9,20.1,24.4,62.2
52,2,02M104,J.H.S. 104 Simon Baruch,2015-16,43.9,56.1,39.6,8.1,21.1,28.0,55.8
53,2,02M104,J.H.S. 104 Simon Baruch,2016-17,44.9,55.1,36.0,7.5,18.8,33.9,46.2
54,2,02M104,J.H.S. 104 Simon Baruch,2017-18,46.6,53.4,33.7,7.5,19.0,34.7,43.8
55,2,02M114,East Side Middle School,2013-14,52.4,47.6,12.2,3.4,9.9,72.9,14.0
56,2,02M114,East Side Middle School,2014-15,51.4,48.6,14.7,3.1,10.2,67.9,11.4
57,2,02M114,East Side Middle School,2015-16,52.2,47.8,15.0,2.9,9.1,65.8,9.3
58,2,02M114,East Side Middle School,2016-17,52.1,47.9,14.0,3.2,9.0,65.2,7.0
59,2,02M114,East Side Middle School,2017-18,54.9,45.1,12.2,3.6,8.9,67.6,10.9
60,2,02M126,P.S. 126 Jacob August Riis,2013-14,50.1,49.9,56.1,9.8,23.2,10.0,79.0
61,2,02M126,P.S. 126 Jacob August Riis,2014-15,49.8,50.2,55.5,11.3,21.8,9.5,78.9
62,2,02M126,P.S. 126 Jacob August Riis,2015-16,47.8,52.2,58.6,11.1,20.7,7.6,80.1
63,2,02M126,P.S. 126 Jacob August Riis,2016-17,46.8,53.2,59.5,9.9,20.1,7.8,79.6
64,2,02M126,P.S. 126 Jacob August Riis,2017-18,46.0,54.0,62.1,9.3,18.0,7.9,79.6
65,2,02M131,M.S. 131,2013-14,47.0,53.0,75.1,9.9,14.6,0.2,96.9
66,2,02M131,M.S. 131,2014-15,47.0,53.0,80.0,8.1,11.6,0.2,95.3
67,2,02M131,M.S. 131,2015-16,44.0,56.0,77.1,8.1,14.3,0.5,95.5
68,2,02M131,M.S. 131,2016-17,42.2,57.8,83.6,5.7,9.4,0.7,93.7
69,2,02M131,M.S. 131,2017-18,43.3,56.7,81.4,6.0,10.6,1.8,93.3
70,2,02M167,J.H.S. 167 Robert F. Wagner,2013-14,46.4,53.6,28.1,8.3,23.1,38.5,47.2
71,2,02M167,J.H.S. 167 Robert F. Wagner,2014-15,46.7,53.3,27.5,9.7,21.8,38.3,47.1
72,2,02M167,J.H.S. 167 Robert F. Wagner,2015-16,47.2,52.8,27.7,8.3,18.7,41.8,44.2
73,2,02M167,J.H.S. 167 Robert F. Wagner,2016-17,47.5,52.5,23.3,8.1,17.3,47.0,33.6
74,2,02M167,J.H.S. 167 Robert F. Wagner,2017-18,47.3,52.7,21.0,6.0,15.9,52.1,30.6
75,2,02M177,Yorkville East Middle School,2014-15,44.6,55.4,12.5,8.9,28.6,42.9,35.7
76,2,02M177,Yorkville East Middle School,2015-16,45.1,54.9,11.3,10.6,29.6,42.3,37.3
77,2,02M177,Yorkville East Middle School,2016-17,48.4,51.6,9.9,10.3,26.8,47.9,28.6
78,2,02M177,Yorkville East Middle School,2017-18,49.8,50.2,8.6,12.0,25.3,49.4,34.3
79,2,02M217,P.S./I.S. 217 Roosevelt Island,2013-14,52.5,47.5,27.2,22.0,17.2,31.5,40.2
80,2,02M217,P.S./I.S. 217 Roosevelt Island,2014-15,49.8,50.2,27.8,18.5,15.9,34.3,35.3
81,2,02M217,P.S./I.S. 217 Roosevelt Island,2015-16,48.2,51.8,29.1,15.7,14.3,36.3,36.1
82,2,02M217,P.S./I.S. 217 Roosevelt Island,2016-17,49.9,50.1,29.4,13.2,15.2,38.0,33.6
83,2,02M217,P.S./I.S. 217 Roosevelt Island,2017-18,51.0,49.0,30.0,11.4,14.9,38.5,33.8
84,2,02M225,Ella Baker School,2013-14,53.6,46.4,5.0,24.5,43.9,21.9,42.6
85,2,02M225,Ella Baker School,2014-15,48.9,51.1,3.7,21.1,41.8,27.9,43.3
86,2,02M225,Ella Baker School,2015-16,51.9,48.1,3.6,18.5,37.0,35.2,40.0
87,2,02M225,Ella Baker School,2016-17,50.5,49.5,5.8,16.7,37.6,32.8,36.3
88,2,02M225,Ella Baker School,2017-18,49.7,50.3,5.6,16.6,32.2,37.2,33.4
89,2,02M255,M.S. 255 Salk School of Science,2013-14,56.9,43.1,20.9,4.8,10.1,61.6,16.1
90,2,02M255,M.S. 255 Salk School of Science,2014-15,60.3,39.7,21.4,3.8,8.5,63.6,11.2
91,2,02M255,M.S. 255 Salk School of Science,2015-16,61.2,38.8,18.7,3.2,9.4,62.6,11.2
92,2,02M255,M.S. 255 Salk School of Science,2016-17,58.2,41.8,18.5,2.3,10.3,61.0,10.8
93,2,02M255,M.S. 255 Salk School of Science,2017-18,58.0,42.0,16.6,1.8,11.4,61.4,10.6
94,2,02M260,M.S. 260 Clinton School Writers & Artists,2013-14,70.7,29.3,14.3,11.3,21.1,51.1,32.7
95,2,02M260,M.S. 260 Clinton School Writers & Artists,2014-15,76.3,23.7,15.2,6.3,14.1,61.1,20.7
96,2,02M260,M.S. 260 Clinton School Writers & Artists,2015-16,72.3,27.7,13.8,5.9,10.1,65.4,14.6
97,2,02M260,M.S. 260 Clinton School Writers & Artists,2016-17,68.1,31.9,12.9,5.1,11.2,64.2,10.6
98,2,02M260,M.S. 260 Clinton School Writers & Artists,2017-18,68.2,31.8,12.6,4.6,11.4,64.1,13.6
99,2,02M276,Battery Park City School,2013-14,48.0,52.0,22.7,4.5,12.6,54.4,11.8
100,2,02M276,Battery Park City School,2014-15,47.4,52.6,22.3,4.6,11.6,55.4,9.0
101,2,02M276,Battery Park City School,2015-16,47.9,52.1,20.5,4.4,10.9,56.3,7.1
102,2,02M276,Battery Park City School,2016-17,47.1,52.9,19.9,4.9,10.6,56.7,8.7
103,2,02M276,Battery Park City School,2017-18,47.8,52.2,19.6,4.1,13.2,54.1,12.6
104,2,02M289,I.S. 289,2013-14,55.3,44.7,34.8,9.9,15.0,38.9,38.9
105,2,02M289,I.S. 289,2014-15,54.1,45.9,35.3,7.9,15.8,38.4,34.6
106,2,02M289,I.S. 289,2015-16,54.7,45.3,38.4,8.3,12.8,38.1,41.9
107,2,02M289,I.S. 289,2016-17,52.3,47.7,42.0,5.7,12.1,37.7,43.8
108,2,02M289,I.S. 289,2017-18,47.3,52.7,44.2,3.9,11.3,38.5,50.2
109,2,02M297,M.S. 297,2017-18,51.8,48.2,8.8,9.3,19.2,60.1,30.1
110,2,02M312,New York City Lab Middle School for Collaborative,2013-14,49.9,50.1,41.2,2.8,8.9,39.1,32.5
111,2,02M312,New York City Lab Middle School for Collaborative,2014-15,49.1,50.9,44.6,2.0,7.2,38.4,34.6
112,2,02M312,New York City Lab Middle School for Collaborative,2015-16,49.2,50.8,46.8,2.4,7.4,34.3,28.9
113,2,02M312,New York City Lab Middle School for Collaborative,2016-17,39.2,60.8,51.9,1.8,5.7,33.5,30.3
114,2,02M312,New York City Lab Middle School for Collaborative,2017-18,41.3,58.7,55.1,2.0,6.5,30.0,38.3
115,2,02M347,The 47 American Sign Language & English Lower Scho,2013-14,53.3,46.7,2.3,20.1,44.4,29.9,68.2
116,2,02M347,The 47 American Sign Language & English Lower Scho,2014-15,50.5,49.5,3.1,23.0,49.0,21.4,69.9
117,2,02M347,The 47 American Sign Language & English Lower Scho,2015-16,49.2,50.8,3.7,22.2,46.0,23.3,67.2
118,2,02M347,The 47 American Sign Language & English Lower Scho,2016-17,49.7,50.3,2.6,21.5,45.6,22.6,64.1
119,2,02M347,The 47 American Sign Language & English Lower Scho,2017-18,51.8,48.2,3.0,19.8,43.1,25.4,61.9
120,2,02M397,Spruce Street School,2013-14,46.7,53.3,15.5,2.5,12.2,56.9,8.3
121,2,02M397,Spruce Street School,2014-15,47.4,52.6,14.2,2.6,12.3,57.7,9.1
122,2,02M397,Spruce Street School,2015-16,49.0,51.0,13.8,2.7,12.4,58.2,11.1
123,2,02M397,Spruce Street School,2016-17,50.0,50.0,15.6,3.3,12.6,55.1,12.4
