District,DBN,School Name,Grade,Group,Class,Year,Number Tested,Mean Scale Score,# Level 1,% Level 1,# Level 2,% Level 2,# Level 3,% Level 3,# Level 4,% Level 4,# Level 3+4,% Level 3+4
02,02M104,J.H.S. 104 SIMON BARUCH,6,,Class 1,2013,311,328,27,8.7,84,27,82,26.4,118,37.9,200,64.3
02,02M104,J.H.S. 104 SIMON BARUCH,7,,,2013,356,319,63,17.7,102,28.7,117,32.9,74,20.8,191,53.7
02,02M104,J.H.S. 104 SIMON BARUCH,8,,,2013,325,321,45,13.8,113,34.8,96,29.5,71,21.8,167,51.4
02,02M114,EAST SIDE MIDDLE SCHOOL,6,,Class 1,2013,148,346,4,2.7,13,8.8,38,25.7,93,62.8,131,88.5
02,02M114,EAST SIDE MIDDLE SCHOOL,7,,,2013,141,349,1,0.7,14,9.9,45,31.9,81,57.4,126,89.4
02,02M114,EAST SIDE MIDDLE SCHOOL,8,,,2013,170,342,2,1.2,25,14.7,74,43.5,69,40.6,143,84.1
02,02M126,P.S. 126 JACOB AUGUST RIIS,3,Group 1,,2013,66,300,17,25.8,31,47,13,19.7,5,7.6,18,27.3
02,02M126,P.S. 126 JACOB AUGUST RIIS,4,,,2013,56,305,15,26.8,15,26.8,18,32.1,8,14.3,26,46.4
02,02M126,P.S. 126 JACOB AUGUST RIIS,5,,,2013,68,316,18,26.5,12,17.6,27,39.7,11,16.2,38,55.9
02,02M126,P.S. 126 JACOB AUGUST RIIS,6,,Class 1,2013,116,330,8,6.9,29,25,30,25.9,49,42.2,79,68.1
02,02M126,P.S. 126 JACOB AUGUST RIIS,7,,,2013,114,333,8,7,21,18.4,49,43,36,31.6,85,74.6
02,02M126,P.S. 126 JACOB AUGUST RIIS,8,,,2013,111,338,4,3.6,20,18,44,39.6,43,38.7,87,78.4
02,02M131,M.S. 131,6,,Class 1,2013,116,300,28,24.1,55,47.4,23,19.8,10,8.6,33,28.4
02,02M131,M.S. 131,7,,,2013,165,309,44,26.7,61,37,48,29.1,12,7.3,60,36.4
02,02M131,M.S. 131,8,,,2013,164,310,31,18.9,62,37.8,48,29.3,23,14,71,43.3
02,02M167,J.H.S. 167 ROBERT F. WAGNER,6,,Class 1,2013,394,323,35,8.9,134,34,117,29.7,108,27.4,225,57.1
02,02M167,J.H.S. 167 ROBERT F. WAGNER,7,,,2013,424,323,67,15.8,126,29.7,124,29.2,107,25.2,231,54.5
02,02M167,J.H.S. 167 ROBERT F. WAGNER,8,,,2013,365,321,46,12.6,139,38.1,103,28.2,77,21.1,180,49.3
02,02M217,P.S./I.S. 217 ROOSEVELT ISLAND,3,Group 1,,2013,48,326,3,6.3,11,22.9,18,37.5,16,33.3,34,70.8
02,02M217,P.S./I.S. 217 ROOSEVELT ISLAND,4,,,2013,25,313,7,28,7,28,3,12,8,32,11,44
