dbn,school_name,state_and_local_funding_per_pupil,federal_funding _per_pupil,total_school_funding_per_pupil,fiscal_year
01M034,P.S. 034 Franklin D. Roosevelt,23354.48059,2628.748571,34560.00442,2022
01M034,P.S. 034 Franklin D. Roosevelt,24312.26568,2116.509225,33171.01197,2021
01M034,P.S. 034 Franklin D. Roosevelt,22640.04346,1325.33218,30688.75153,2020
01M034,P.S. 034 Franklin D. Roosevelt,21637.63,1570.43,29882.06,2019
01M034,P.S. 034 Franklin D. Roosevelt,21469.28737,1303.630631,29337.10165,2018
01M140,P.S. 140 Nathan Straus,21904.02476,2059.97437,32540.77438,2022
01M140,P.S. 140 Nathan Straus,21965.36164,1150.871233,29858.46994,2021
01M140,P.S. 140 Nathan Straus,18778.9019,1252.770833,26755.04862,2020
01M140,P.S. 140 Nathan Straus,18901.04,815.88,26390.92,2019
01M140,P.S. 140 Nathan Straus,17060.65587,927.180593,24552.0201,2018
01M184,P.S. 184M Shuang Wen,16075.8636,1841.257058,26493.89591,2022
01M184,P.S. 184M Shuang Wen,15789.5574,804.5186722,23336.31314,2021
01M184,P.S. 184M Shuang Wen,15672.97911,1096.892749,23493.24774,2020
01M184,P.S. 184M Shuang Wen,13348.63,879.25,20901.88,2019
01M184,P.S. 184M Shuang Wen,13029.49372,936.4590643,20530.13643,2018
01M188,P.S. 188 The Island School,25752.55371,2819.605867,37148.93484,2022
01M188,P.S. 188 The Island School,23965.15306,1489.155612,32196.54574,2021
01M188,P.S. 188 The Island School,24354.00658,1387.962264,32465.34473,2020
01M188,P.S. 188 The Island School,21187,1245.77,29106.77,2019
01M188,P.S. 188 The Island School,20130.8356,1116.928406,27811.94766,2018
01M332,University Neighborhood Middle School,31416.16972,2757.485521,42750.4305,2022
01M332,University Neighborhood Middle School,27921.86916,2007.901869,36672.00809,2021
01M332,University Neighborhood Middle School,29409.66179,1221.711009,37354.74868,2020
01M332,University Neighborhood Middle School,28827.1,1997.93,37499.03,2019
01M332,University Neighborhood Middle School,25742.90906,1990.098522,34297.19122,2018
01M378,School for Global Leaders,22613.89349,2505.660872,33696.32962,2022
01M378,School for Global Leaders,24760.88869,1740.20625,33243.332,2021
01M378,School for Global Leaders,20951.12223,811.3507109,28485.84882,2020
01M378,School for Global Leaders,18602.19,834.67,26110.86,2019
01M378,School for Global Leaders,17966.60556,991.7695313,25522.55873,2018
01M450,East Side Community School,16932.78836,1708.836728,27218.40034,2022
01M450,East Side Community School,14957.09372,1162.715942,22862.04673,2021
01M450,East Side Community School,14678.26873,1026.271057,22427.91567,2020
01M450,East Side Community School,13999.92,520.52,21194.44,2019
01M450,East Side Community School,14069.2696,860.0834553,21493.5367,2018
01M539,"New Explorations into Science, Technology and Math High School",11868.16052,774.4164126,21219.35219,2022
01M539,"New Explorations into Science, Technology and Math High School",11013.92627,49.95490868,17806.11824,2021
