,district,dbn,total enrollment,total funding,total federal funding,total city/state,per pupil funding
0,6,M018,362,10198840,1300064,8898776,28173.591
1,6,M052,332,9621465,1392572,8228893,28980.316
2,6,M143,316,9866156,1230731,8635425,31222.013
3,6,M187,807,16117807,1212221,14905586,19972.499
4,6,M209,246,5920798,229867,5690931,24068.285
5,6,M210,453,11307163,1328510,9978654,24960.625
6,6,M218,198,6517398,778950,5738448,32916.152
7,6,M223,286,6993350,306932,6686418,24452.273
8,6,M278,551,11490981,720650,10770331,20854.775
9,6,M293,598,11811704,694002,11117702,19752.013
10,6,M311,423,8863802,893428,7970373,20954.615
11,6,M319,471,12952095,1081953,11870142,27499.14
12,6,M322,321,8460913,910332,7550581,26357.984
13,6,M324,423,11113423,816386,10297037,26272.868
14,6,M328,246,9413709,788505,8625204,38267.11
15,6,M346,663,13988396,890063,13098334,21098.637
16,6,M348,806,17572931,1512705,16060226,21802.644
17,6,M349,155,4027999,258941,3769058,25987.09
18,6,M366,563,12519259,1694431,10824829,22236.694
19,6,M528,199,5859658,552790,5306868,29445.518
20,7,X005,722,18634733,2994384,15640349,25809.88
21,7,X029,770,19326995,3695680,15631314,25099.994
22,7,X031,731,18503594,3352681,15150912,25312.714
23,7,X151,245,7745347,792435,6952912,31613.661
24,20,K201,1522,27304658,1699078,25605580,17939.986
25,7,X221,657,15031940,1482750,13549191,22879.665
26,7,X223,697,15943441,2214320,13729121,22874.377
27,7,X224,389,10454329,1216229,9238100,26874.882
28,7,X296,296,9278842,1584412,7694429,31347.439
29,27,Q183,575,14922975,2333169,12589807,25953.0
30,7,X298,256,8409151,1346522,7062629,32848.246
31,7,X343,302,7770180,911288,6858892,25729.073
32,7,X500,527,11521453,851957,10669495,21862.34
33,7,X551,592,14473134,1236314,13236821,24447.861
34,20,K030,802,19130211,1275745,17854466,23853.131
35,20,K062,1191,25884370,2469266,23415104,21733.308
36,20,K104,1278,26438081,1212018,25226063,20687.074
37,20,K163,611,13818965,1276334,12542632,22616.964
38,20,K180,1160,27455673,3265161,24190511,23668.684
39,20,K187,892,18593825,626740,17967085,20845.095
40,20,K192,693,17040511,2399939,14640572,24589.482
41,20,K220,1489,29320040,2755335,26564705,19691.095
42,21,K690,926,17909176,1314284,16594893,19340.363
43,20,K223,1004,21099377,1762359,19337018,21015.316
44,20,K227,1379,27721005,2530587,25190418,20102.252
45,20,K229,1240,23166903,1505571,21661332,18682.986
46,20,K259,1758,32877784,2506572,30371212,18701.811
47,8,X269,638,16100451,1152836,14947615,25235.817
48,20,K609,558,11322933,847752,10475181,20291.995
49,20,K686,585,11267604,734004,10533600,19260.862
50,21,K095,923,20837790,2249886,18587904,22576.154
51,21,K096,723,19086905,1704238,17382668,26399.592
52,21,K098,1513,26106478,660229,25446249,17254.777
53,21,K099,879,17546213,1980367,15565846,19961.562
54,21,K121,350,12866354,1486295,11380060,36761.011
55,15,K448,667,16440135,1017969,15422166,24647.879
56,21,K209,713,18268405,2409133,15859273,25621.886
57,21,K225,976,24752630,4249286,20503344,25361.301
58,21,K226,1022,24994519,3702860,21291659,24456.477
59,21,K228,1383,28881046,2657136,26223910,20882.897
60,21,K238,593,17778936,3331538,14447398,29981.342
61,21,K239,1270,26891793,630883,26260911,21174.64
62,21,K281,1290,25908029,2026703,23881326,20083.743
63,21,K288,681,16353448,2584300,13769148,24013.874
64,21,K303,503,11001337,613179,10388158,21871.445
65,21,K468,635,12045641,883678,11161963,18969.513
66,27,Q042,719,21379532,3119376,18260156,29735.093
67,27,Q043,924,23002298,4237884,18764414,24894.262
68,27,Q202,1093,21279430,1687292,19592138,19468.829
69,27,Q047,214,6898631,952416,5946215,32236.593
70,27,Q053,314,10679157,1026743,9652414,34010.054
71,27,Q309,629,13044424,730330,12314094,20738.353
72,27,Q105,834,20671568,2899647,17771921,24786.053
73,27,Q207,712,18616551,2023279,16593272,26146.841
74,27,Q114,663,15787600,1615767,14171832,23812.368
75,27,Q124,1262,23367039,1926225,21440814,18515.879
76,27,Q137,1930,37251814,2651038,34600777,19301.458
77,27,Q146,709,16594211,959802,15634409,23405.093
78,27,Q210,1868,35651428,2722089,32929338,19085.347
79,27,Q226,917,18900382,1835794,17064588,20611.104
80,27,Q232,1037,20219105,1124458,19094647,19497.69
81,27,Q262,804,18578638,826671,17751967,23107.759
82,27,Q282,259,5774723,339629,5435093,22296.228
83,27,Q297,402,8038248,385863,7652385,19995.642
84,27,Q318,230,5970488,325425,5645063,25958.643
85,27,Q319,314,8013338,438750,7574587,25520.185
86,27,Q323,1351,22537565,513405,22024159,16682.135
87,27,Q333,478,10168590,1617866,8550724,21273.201
88,1,M034,350,10645065,1367935,9277130,30414.471
89,1,M140,382,10386518,1327218,9059300,27189.838
90,1,M184,672,14472611,1764249,12708362,21536.624
91,1,M188,445,12556972,1916784,10640188,28217.915
92,13,K691,218,6047297,414600,5632696,27739.894
93,1,M301,127,4399548,333078,4066470,34642.11
94,25,Q025,957,18311276,457403,17853873,19134.04
95,1,M332,234,8155934,914969,7240964,34854.419
96,1,M378,283,7670000,520867,7149132,27102.473
97,14,K318,1358,29887340,2760832,27126508,22008.351
98,1,M450,699,15716831,1109708,14607122,22484.737
99,1,M539,1745,27998199,1627859,26370340,16044.813
100,1,M839,374,8695231,580784,8114448,23249.281
101,13,K008,947,18598383,1737615,16860768,19639.264
102,15,K464,608,13195472,1078859,12116614,21703.079
103,13,K113,321,10086985,973207,9113778,31423.629
104,13,K265,401,10395282,1102722,9292560,25923.397
105,13,K266,166,4897868,423460,4474408,29505.229
106,13,K301,105,4021120,321378,3699742,38296.381
107,13,K313,137,4996506,275488,4721018,36470.847
108,13,K351,143,5301283,560430,4740853,37071.909
109,14,K071,596,20997565,2612147,18385418,35230.814
110,13,K492,517,10581568,329966,10251602,20467.25
111,13,K527,487,10458018,600474,9857543,21474.37
112,14,K050,268,9065549,961814,8103735,33826.675
113,14,K084,799,20924383,2561254,18363129,26188.214
114,14,K126,393,11465739,859428,10606311,29174.908
115,14,K157,508,13709390,2091762,11617628,26986.988
116,14,K577,506,10796445,738307,10058138,21336.848
117,14,K582,261,7340386,844390,6495996,28124.084
118,14,K586,516,12461961,1595375,10866586,24151.087
119,14,K614,394,8377346,415707,7961638,21262.299
120,24,Q560,635,13348523,617958,12730565,21021.296
121,24,Q005,1836,40625802,2512879,38112923,22127.343
122,24,Q049,1131,20137367,885555,19251812,17804.922
123,24,Q061,2175,44930793,3734275,41196518,20657.836
124,24,Q073,2050,39694316,2851152,36843163,19363.081
125,26,Q266,662,16026357,1215560,14810797,24208.998
126,24,Q077,1020,25525329,3716630,21808699,25024.832
